"shopId","shopName"
1293005,Kece Group
1293359,WRH SHOES BANDUNG
1315857,EDC Online
1318983,XABOELSOAEP
1319072,SABRINA TOPEDSHOP
1326437,JuraganBatre
1343455,antifootwear
1357414,Hobbies_store1
1360965,pahlawan kerja
1362114,TA COLLECTIONS
1374751,Jam-Murangkalih
1380311,williamandy
1384308,rukman fotwear
1390658,CSS1688
1408582,Sunsea Shop
1409074,Nona Garskin
1409497,Hareka Store
1409714,MEGA NATHAN
1421292,TAKOSHI OLSHOP
1430195,CENTURY HEALTHCARE
1431606,Aira 88
1433353,Timur Jaya88
1437619,viddi_balastore
1438973,Hi Store Accessories
1441307,chengdu
1446470,Jek Store
1446574,dfanccie house
1450930,office casio
1459537,Enigami Gift
1469567,"7 years"
1470763,Digital Jaya
1476988,ellen olshop
1484250,Maju Mundur 88
1489716,EFAcollection
1491829,Eunike_Fashion
1495113,Viekoshop
1496020,icomp jakarta
1496797,Asni Sport Colection
1500857,SECCOM
1509181,Racmmer Indonesia
1515046,rindu berkat chemical
1520457,toko berkah kita satu
1522668,Central Tech
1536709,Syafana
1541463,Yunaielektronik
1541773,OneStopCleaner
1547685,Rochmatika Shop
1551177,tokoela
1560206,Kacamatanet
1569628,h.store1
1582509,BONA BIKE SHOP BEKASI
1608483,Solafide JKT
1609452,tokoayra
1622341,Prima Supplier
1625101,Sabani Online Shop
1630187,Yesx Shop
1665045,ADARA SH0P
1668883,tmcstore
1670917,One Solutions
1673118,Medstuff
1680089,vitaminmurahcom
1721312,Fantastic Pedia
1737819,fashion four
1740202,jimmyjazz
1742096,maxman
1742768,MAOstore
1780041,LALA ALLSHOP
1787501,Davin Sport
1799091,AKDW Shop
1802027,Qierana Shop
1802197,TRANSMEDIKA JAKARTA
1805637,Adi cell88
1808013,Toko Revtech
1812816,Onyon_OS
1817101,arul phone shop
1826654,Tekno Grosir
1835753,Vita Clein
1837823,Aroe goods
1841822,Compass Outdoor
1843345,CycleHolic
1843785,toko25jam
1849778,Kapten Sangun
1856858,Blacksmith rack
1857987,C&amp;C Store
1858878,thesurveogear
1864065,CV Kasih Ibu WAREHOUSE
1868571,Cicalengka  store
1879871,Baby`S Stuff
1883930,(official) Dunia Cover
1886039,Karwojakarta
1894544,cringcring88
1900934,Gitengh_Store77
1903851,uman
1907640,J2 Angel
1914729,AIRA VIP
1918610,Braders Shop
1921447,MICEL OLSHOP
1930916,WIRDA MANSYUR
1936989,jieshopz
1957046,Go Green Shop Jkt
1962208,Bahagia Pharma
1966255,skizostoree
1966371,LapakHarja
1972851,CAHAYA ABADI JKT
1988847,PRODUCTION STORE
2029001,KnK Station
2041415,PlayHardID
2053533,Khanza Collection
2057042,LBS On
2074242,akmala sport
2102052,INDOHITECH
2108090,QuLMart
2112217,KALILAH SHOP
2112238,OLSEN OUTDOOR
2114547,AsanBuahFreshFruit
2121986,Pikuba
2153052,Pay - U
2156280,ARISTA69 SHOP
2172607,OEA
2176335,H2S_store
2181377,Raja Grosir Sukses
2187349,Onlynehope
2197460,syaqila oleh oleh haji
2198137,FoundToko
2201058,Spinner Paling Murah
2203481,Grosir Sandal Awet Murah
2214203,IMPORT I STORE
2221280,ReiCS Shop
2222485,wieloo
2232878,beauty faizah store SR12 Herbal
2248237,PELITASENJA
2248756,Blablablah
2257659,GREATsafety
2258544,BAGGI
2261538,Joss Pedia
2265255,NicaSan Shop
2268597,Padisatu
2271088,das technology
2271468,mibeautybar
2283046,Hepiilee
2289224,Sukses Mandiri Electric
2296753,KerenBeken
2310912,My Cahaya Electric
2311363,Pingky store1
2321646,Gagapan Bali
2327279,Top_BikeStation
2328330,billpalmer
2330780,kebaya cicy
2332663,Roketizen
2339425,MAHKOTA MONEY
2340589,tokoenamsaudara
2378235,Mercy Gloves_17
2382364,Amio store
2387724,Unik Jaya Shop
2394415,Jakarta Project
2397560,MOOIMOM Official
2398346,Rumah Alat Medis
2401924,Qrisan
2406692,toko air
2409287,exxo
2410678,saybee
2435547,Radim Shop
2438060,Aboutyou Shop Official
2438687,Medis Medika
2441260,nozry
2443489,Taskiplingckanello
2444234,Packing Needs
2451181,apotek finda v3
2459020,Herbalpedia88
2464566,Uni Kokuyo Official Shop
2467337,WACO STORE JKT
2469321,ghibran ass
2471155,D&#39;Accessories.id
2473216,KK_Alfa
2474935,Cellosh
2477802,tookono
2485335,rafnia
2506421,andistore99
2508220,supplier_baking.mufid
2511050,ATK Pasar Pagi
2524565,CV Importindo Bejo Mulyo
2524697,munirshop9
2539622,olshopgiones
2561933,Korshope
2562929,Nyari
2565753,Toko_Madju
2579275,herlansd
2581119,Info lengkap
2589222,KAO Official Store
2589297,itu toko
2604303,U.Store
2606399,Adha Shoes
2609860,Ulin Barokah Shop
2625331,FNA-Alat salon Kecantikan
2637351,SY BIKE
2639794,tokogeos
2650979,Reygan Shop
2653473,Grosir-Barang Unik
2655239,ATK HOUSE
2655909,BLOVM
2662252,One Of Kind Shop
2664820,aadorablethings
2667996,HQ Stationary and Packaging
2671075,GoodsSupply
2677088,Second Chance 898
2696912,Shelvi Ra Store
2698824,Herbal_Indomart
2700816,raina kurtaOLSHPE
2701803,veronica shop
2716863,Toko Optima Pride
2732812,Kickers wanita
2732940,SEPATU CLARKS
2761004,Amole-shop
2761227,Arames
2762775,berkah olshop 24
2772106,AG.Shopp
2774850,Jawara Grosir
2777215,Jason Store 21
2782236,Jilbab Instan t
2792603,BAROKAH-BEAUTY
2805151,Asia Medical
2808652,Yumar Store
2824372,SR12HerbalShop
2830834,MEZZALUNA_SHOPP
2845885,X-POSE
2850311,Zikry Abadi Teknik
2854998,zona 8
2855166,Garasiqu Online Store
2876284,PRISMA JAYA MEDICA
2892180,mikimikuhouse
2893859,Juragan kaus kaki
2895308,Beauty N Healthy SkinCare21
2900314,gowesmart
2904174,Cico Toys Id
2904874,Toys for Luna
2907766,"1st gloves"
2907916,Gardenista
2908650,Yamaha Pro
2914632,Hiji_Shop
2915632,HobbySport
2916937,hittastore
2919288,Jeng Rinda
2922500,dezzan
2928683,Mama ZEE
2930660,toko sepeda hokie jaya
2930955,zikrii
2938605,S2SOLO
2938694,puput1 shop
2942498,Warung Saudara Shop
2943433,indofitsurabaya
2943509,Fany Baby ITC Kuningan
2949174,Prety Grosir
2949890,ALKES MEDICAL JAKARTA
2950026,Yiling Online Shop
2956448,Sanjaya toko77
2963293,K&amp;J STORE
2971764,Alat Ukur Dan Repeater
2990192,kilosierra92
2994641,Rejeki Sparepart Bike
3003167,duadus
3007135,Sant 050
3007257,Auto Kyim
3007768,Tukangsapoe
3007877,RAMADASTORE 1
3013898,Venditionis_shop
3023215,Mcm Racing Exhaust
3023775,KIME STORE JAKARTA
3025622,Bakul hp jogja
3033479,jaya.atk
3085198,"4-Riders Store"
3087813,amanda shopppp
3120837,Global Mart Grosir
3131433,Mogen Group
3144705,Byron Official
3146853,durenboks
3151459,kenken77
3154421,Bintang parfume2
3156645,Robbiatul Olshop
3162909,Ezzy Connect
3163189,BAESO Official
3199723,Agen Star Big
3211386,DOLLAR TEN10
3215598,Zafira &amp;amp; Ozora
3228561,Lunaire Cult
3264079,omedic
3284016,Astra Otoparts
3306273,Mamajoy
3321154,StarStore Tiga
3353477,PUTRA BUANA S
3413108,Beauty manisah
3418921,CV Alsaba Sangga Buana
3430882,Lazadudd
3432648,MAYKEN shop
3433160,MJ Baby Store
3451498,OTOSPORT
3483292,Sabrina Room
3485442,KumpulRejeki
3496952,JariJari.id
3510919,EL_NINO SHOP
3517738,Sunway I Love Bike
3521444,ochol shop
3571411,MTB IMPORT
3577157,Maxmillian Store
3578254,AZZA OFICE
3580759,Bom Acc Depok
3610273,SiZta Corner
3627876,Alexi Jaya Com
3631419,STAR-POINT
3634350,Luxury88shop
3659902,Konimex Store
3660534,EntertainmentFG
3660896,sinar_jaya_cycle
3673057,PlatinumMall
3696483,socks distro
3700826,CAHAYA TIGABERLIAN
3702088,Rockbrothers Indonesia
3734672,HARRISON_Kota Wisata
3753214,Technesia
3768679,Portibi Medical
3769817,Gerrstore
3772692,scmpackagingjkt
3777832,Amber Shoes
3817359,safiyastors
3823665,Nau Label
3831002,frytechid
3838553,A N SEAL
3852501,GLOBAL CREW
3854361,Dr. Pedal
3895398,Fannynails
3910184,eL Mar Baby &amp; Kids Wear
3940243,IM MAX
3948012,Maureen Integra Store
3951285,Laris Rame shop
3955951,YO LANCAR
3972012,LEEGRANDEUR
3997686,ranahi store
4011222,Wahana baleo
4016755,Phylo shoop
4022924,Apa Cari Gan
4088361,bikepeak
4130207,ALYA JAYA MOTOR
4177345,Babyzania Express
4182270,shop fittings
4196564,silicagelstuff
4209716,TheJayakartaSHOP
4228432,IVAN ARMADI SHOP
4253767,Utopia Indonesia
4274331,Sens sans store
4291466,AnnaBatik
4304361,kairos-olshop
4336606,yusanam
4366546,LIBABY STORE
4380745,Maple Surabaya
4389066,Gadget Therapy
4431309,Lakuge
4445065,Laris87
4447922,PasirPutihShop
4449250,YW Online Store
4460427,cocomango
4464681,mokamelon
4472008,WEIRD STORE
4472038,Hyuga Sport Jakarta
4472614,Fathima hijab
4525816,Pikowa Shop
4581462,alphaomega shop
4593618,Street Drift
4606258,Laris today
4606821,Kuro-Shiro
4626426,Diet Sehatt
4659097,Amiin_olshop
4667894,Savior-Store
4680970,carven mart
4690853,Asisten belanja
4696599,bbakulsepatu
4710428,DN INDONESIA
4727308,SASANGKALA
4745224,Marquerite Swank
4775533,hamhampyo
4822296,PELANGI HARDWARE
4857896,FranceProject
4867925,Domain Ollshop
4903659,Kemeja Mumer
4912992,bidarastore
4937689,GNDS Online Shop
4939711,indo data 12
4943143,BAROKAH K9
4957768,Aning_Shopaholic
4970590,Nisa Adila
4996364,seruduk
4996489,kurnia jaya 2
5005335,Pram Storee
5080270,PUSAT ELEKTRONIK STORE
5097094,Leonian Golf ID
5112608,Buku Sabun
5119494,Dewi Mabuk Dua
5134930,Hiro Teknik
5155913,FEEMED
5159987,Toko Teman Anda
5172334,Oxygen Store.
5214903,Chlorica-Official
5231094,KhunfaShop
5231659,TonnyKurniawanShop
5233782,Silkygrosir
5236501,vinn mart
5240450,INTI MEDIKA STORE
5240990,TokoTuan.ny
5246397,VEGA SH0P
5254556,GadgetXpress
5256921,Grosir Laris Berkah 77
5256978,ADF Jaya
5267424,SHIELA RAHMADHANI
5294458,Awanimo
5318651,Lapak Grosier
5328030,babyzania-id
5343439,papijang
5343968,Quality_Store8
5346636,cstmaya
5370716,Bos Fik Store
5418397,eka_collections1
5433670,the_best_inpor
5433737,Mila Nova Liza
5441666,Qinara Shop4
5458457,mikaonline
5472572,KS Health &amp; Beauty
5473068,EROGAN FOREX KLG SOLOCO
5487542,-SALMA SHOP-
5547049,New Pro
5547439,Arah Environmental
5548121,efef shop 2
5549554,Kedai Panjang
5550016,CaseStation
5554437,Hobby One Specialty
5559570,SMILEYYY SHOP
5563629,Vantagi
5565306,FHS ID
5566475,fiazaa
5599394,ukirankaligrafi
5626583,Burung Love bird Kenari
5644912,Instagramart
5652721,Tas Slempang Ransel
5678489,BoboStoreku
5694620,Baby Bungah
5698177,Kenz Baby And Kids Shop
5758559,Garnier Official
5788569,PACE AND RACE
5804122,sinar foto
5805865,cahayashop0856
5809037,NEVORAMA SHOP
5820736,Danaumat
5820898,Hey Men
5837060,Bella Dwi
5872184,SG QUALITY
5876060,Nice Fashion.
5879526,damarz
5890316,IDN Home
5892660,TOKO MAUKU
5895701,ivan87
5907469,arenagowes
5942673,Rumah Letisa
5953447,DeaLjavu
5954756,SR12 Herbal SKincare Jakarta
5966329,bee_strong
5976473,SinterArt
6003025,bendera merah putih ku
6016908,SANIFURI
6021733,TEDOmise
6024220,Kebun Tekno
6028913,ikon fashion New
6031935,Amelia Christiana1
6034722,Cahaya Cellindo
6047001,sunny.store
6111557,Cakung Importir
6111604,TokoAgustinsukotjo
6111631,Toko idarmawatyd
6121277,Json Shop
6148656,ORIGINAL By SOPHIE MARTIN
6150553,"008 Mall&amp;#39;s"
6161547,gendutshope
