"skuId","shopId","productName","discountedPrice","originalPrice","rating","soldCount","createdAt"
820253237,8224075,Warna -saku Sarung Tangan Setengah Jari Bahan Gel untuk Sepeda /,129200.0,0.0,0.0,0,"2022-01-24 08:37:25.562 +00:00"
821899158,8156887,untuk Gym/Travel/Renang/Sekolah/Pantai Fashion: Tas Tangan/Ransel,128300.0,0.0,0.0,0,"2022-01-24 08:42:13.051 +00:00"
821906026,8156887,Gym/Travel/Renang/Sekolah/Pantai Fashion: Tas Tangan/Ransel Bahan,128300.0,0.0,0.0,0,"2022-01-24 08:42:13.051 +00:00"
821911565,8156887,"Fashion: Tas Tangan/Ransel Bahan Kanvas+Tali Serut, untuk",128300.0,0.0,0.0,0,"2022-01-24 08:42:13.051 +00:00"
822604446,824449,Sarung Tangan Gel Silikon Magnetik / Sarung Tangan Terapi Magnetik,45000.0,0.0,0.0,30,"2022-01-24 08:37:19.588 +00:00"
822840995,7961975,"Fashion: Tas Tangan/Ransel Bahan Kanvas+Tali Serut, untuk",128300.0,0.0,0.0,0,"2022-01-24 08:42:12.337 +00:00"
822844199,7961975,Gel Jam Tangan Quartz Analog Unisex Warna Warni ang Silikon Geneva,104900.0,0.0,0.0,0,"2022-01-24 08:37:23.829 +00:00"
822846044,7961975,Gym/Travel/Renang/Sekolah/Pantai Fashion: Tas Tangan/Ransel Bahan,128300.0,0.0,0.0,0,"2022-01-24 08:42:12.337 +00:00"
822890472,7961975,Gel Jam Tangan Quartz Analog Unisex Bergaris ang Silikon Geneva,105200.0,0.0,0.0,0,"2022-01-24 08:37:23.082 +00:00"
822897406,7961975,Jelly Gel Jam Tangan Quartz Analog Unisex Bergaris Gelang Silikon,105200.0,0.0,0.0,0,"2022-01-24 08:37:23.082 +00:00"
824207629,8418894,ASEPTIC GEL ONEMED 500 ML / HAND SANITIZER GEL PENCUCI TANGAN,55000.0,0.0,0.0,4,"2022-01-24 08:37:19.873 +00:00"
825812809,3432648,Hand Sanitizer Gel 500ml / Gel Pembersih / Pencuci Tangan Tanpa Air,47900.0,0.0,0.0,0,"2022-01-24 08:37:21.466 +00:00"
827039349,123014,Nk RockBros 2Pcs Sarung Tangan Sepeda Motor Bahan Gel,518000.0,0.0,0.0,0,"2022-01-24 08:37:24.140 +00:00"
829504098,8424121,Tas wanita ransel dengan motif tenun tangan import PR007,158000.0,0.0,0.0,0,"2022-01-24 08:42:14.394 +00:00"
829837351,5097094,Hand Sanitizer Set Travel Gel Cairan Cuci Tangan Pouch Pill Box,70000.0,0.0,0.0,2,"2022-01-24 08:37:20.200 +00:00"
830480870,2949890,Aseptic Gel Onemed 500ml + Dispenser + Bracket /pencuci tangan,80000.0,0.0,0.0,2,"2022-01-24 08:37:19.588 +00:00"
832069156,8014939,backpack import tas ransel anak boneka me too lucky baby tangan m,105750.0,0.0,0.0,0,"2022-01-24 08:42:14.148 +00:00"
832069836,8014939,Backpack Import Tas Ransel Anak Boneka Angela Tangan M,107250.0,0.0,0.0,0,"2022-01-24 08:42:14.148 +00:00"
832070160,8014939,backpack import tas ransel anak boneka my little pony kaki tangan m,113900.0,0.0,0.0,0,"2022-01-24 08:42:14.394 +00:00"
834117475,8516012,Sarung Tangan Fingerless Bahan Gel Silikon dengan Pad untuk,205500.0,0.0,0.0,0,"2022-01-24 08:37:25.926 +00:00"
835375262,5966329,Onemed aseptic gel 500ml / Cairan pembersih tangan,50000.0,0.0,0.0,10,"2022-01-24 08:37:19.873 +00:00"
835506047,1167392,Sido Kliin Hand Gel 70% Alcohol 100 ml - Pembersih Tangan,20001.0,24000.0,0.0,52,"2022-01-24 08:37:20.714 +00:00"
838830704,5547359,Tas Boneka ransel tangan poli,210000.0,0.0,0.0,0,"2022-01-24 08:42:15.911 +00:00"
838845560,5547359,Tas Boneka ransel kaki tangan pow patrol,145000.0,0.0,0.0,0,"2022-01-24 08:42:16.140 +00:00"
839688157,8368161,hoot sale Tas Ransel Wanita Tas Tangan Original Tas Paketan Murah,206000.0,0.0,0.0,0,"2022-01-24 08:42:15.911 +00:00"
840226242,4475072,"Fashion: Tas Tangan/Ransel Bahan Kanvas+Tali Serut, untuk",124800.0,0.0,0.0,0,"2022-01-24 08:42:14.877 +00:00"
