"shopId","shopName"
23315,TOKOHOBBY.ID
23895,GERARD-TOYS
64813,Cute Magenta
67010,Lili Smart Edu
70139,Jean Priscilla
75605,Wazu Shop
86080,SMARTSHOP 727
87842,ESHA MAGIC SHOP
89263,Alfatihah Store 9
91478,Trexcycle Indonesia
91675,JCM House
94622,Kiosku
97811,GriyaKado
102386,bfs123
104087,intense
104935,Longjohn / Baju winter
106799,Qoys
109207,JooShop
112090,CHRISTY  Shop
112468,lbagstore
114406,Adeline Stor3
115909,elfs shop manfashion
117323,Nyonya Karsih Shop
120770,Come and Buy
123014,NOBIKOM
123968,Galeri Medika
125604,Ahyumi Shop
126114,Sugaru Arena
128411,Rezan 07 Store
128927,girly.shop
133973,All About Bags
136882,Radju Corporate
137077,Metsu Shop
138673,Eti &#39;Gerard Toys&#39;
143198,montespro
147714,M2 shop
148152,viona smart edu
151325,FanTasMurmer
151892,Hassyifa collection
152573,Irzah Shop
152791,Adekmungil babyshop
155057,SINGLETREK OFFICIAL
155714,Princesvshop15
155975,Toko Lion975
157153,TheBestTrader
161622,Ivoryshop
162039,klikmystore
162559,Toko Ajer
163729,WIN SHOP SOLO
164600,Bangzon
165982,elltopshop
166533,SepedaLova
168294,diavorshop
168731,yalieshop
170263,BAJU BAYI &amp; ANAK IMPOR
180031,Leonie&#39;s fash
180780,Serba Organizer
180812,jamgrosir
181269,Pondok Arloji Shop
184104,Jessciacia Clothes
185190,toko jam kimberly
188625,Naqia Store Kudus
190161,zhafira
196729,Oemah Herborist
199615,Indongarep Store
200427,Istana Sepeda
204368,ogahrepot
208609,Shakila Arloji
209441,Lady Freya
210731,stereophonic
215830,nitawacth
217482,GS Gretha Shop2
218450,Mega E
219601,GUDANG1 Official
220042,Bismillah Store9
221240,Fashionbaru
221393,pernakbuy shop
222513,Ayam Potong Rayyan
227149,undercover
228349,riza astuti
229616,compassindo
231934,Eriza Butik
232631,Gravitasi Sport
235808,ANGELIQUE SHOP
239049,best_ shop
239120,arlojifashion
239306,Barokah Medical
241227,MyBearOnline
242300,Sehat Itu Rejeki
242742,DRS_SPORT1212
243998,Los Grosir
244641,jambranded
244797,HobbyOne
246424,moermer
248285,Dapur Adik
254716,VAPOR LAB
267011,Mr Kiasu
269724,Kitty House Cibinong
276888,Gesunde
281888,Chobzter Vapor
285474,ZONA MARKET
286215,MyRyu store
287192,SAF SAFWANA
288080,R Supplement Center
292340,Nay &amp; Nadh Toys
292460,Toko_allstore
292681,andi arloji
302198,Agen Jilbab Murah
305087,Gazaja
308790,dachie corner
309655,Olivia House
313399,belanjamurahonline
314996,barangbagus
316578,depanlaptop
323770,Khansa Bagshop
326618,toko milenial nusantara
328002,ORTSHOP-ID
329413,jitu
330327,Shopping Again
336416,Sidewinder
336674,Maritza OS
340369,Sazanami Tape
342593,ABETS BIKE
350522,tamiyaku
351183,Bang Adul Lingerie
355386,Automatic Spare Part
357791,SINAR CAHAYA SHOP
359204,hijab wardah
359242,tiputshop
359291,bajumuslim-shop
362828,body odour shop
368014,fashionimpor
382131,Perwira Technology
382257,Baby Empire
386957,ValentineShop88
392889,Zahira Collections
397170,Global Beauty Shop
398143,Bul88 shop
398774,alaricshop
403990,mr hahn olshop
405628,RAFFEL BIKE
405737,rangrang lombok art shop
409050,MONJALI MAKMUR
410164,Syubidu
412902,Ardni 5758 Motor
416252,TentangOutdoor
418770,Solo Micro
418875,Santa Babyshop
419747,HWAITINGSHOP
421318,Fortunate
422119,Shop Van Java
422438,YASUKU
425927,Almirahijab &#39;N Shop
427986,Rkaseshop
429490,nailyme
430514,DelishaShop
431544,rdpedia
432294,roadcafe
434429,bunnies
435738,SEKOM ONLINE STORE
441242,BudgetGadget
447311,remaja_jaya
453511,aneka-arloji
458941,Dharma Shop (Surpet)
458972,APEL CENTER
459184,gandaria center
466896,ReyLine Gift Shop
470772,Rejeki Anak Saya
471150,ANEKA STORE 1998
471271,Red Bow Store
476812,AnnaBella
480169,Fukuro Distro Anime
480362,SEPATU BATAM
480498,Spin Warriors
482245,deonlineshop
484865,Global Warehouse Id
486529,Spu Jam tangan
487958,REJEKI RAFFASYA
488204,hamizanstore
489190,Gisele Shop
494920,depasar com
499976,Baby Cloth Shop
508231,unyu-unyu boneka
510696,hafami olshop
511488,grosir-spirulina
512238,Toko Fashion Barokah
512317,maroonshops
514622,Devro
515094,Happy Buddy
516271,Faralia Shop
520849,Toko JP Online
523936,SALISASTORE 03
529235,Gudang kebaya bali
530374,Hestishop
535315,INDOSMART SOLUTION
542182,goodswoods
542502,OLISMARKET
542783,pusat filter
543687,Fast-n-Cheap
544280,Fortune Collection 9
552531,Eternity_Shop
553817,Galeri24
557839,Chipa&#39;shop
560534,T.B.E
560892,Jons Fashion
563286,dBen Shop
565871,donicova
569063,GERAI24
575182,Grosir OK
582092,PUSAT SAUNA SUIT
592131,Run And Sport
592907,Kayumas Bike
594418,cakrapratama
601004,Tumpu Mart
602161,Fatiholshop22
602575,boneka-auni
603625,DHIFFAH OLSHOP
616929,JakartaSpy
619044,DANUKEBAYA
619845,auto33
621493,haura_shopjeans
626433,Klikoneshop
629668,CORONA SHOOP
633964,Quad Outdoor
635353,Bani Center
640103,miracle lee
645655,Indo Auto
648553,"79 Pomade Shop"
650171,Onil
651336,abc.shopz
654588,tokotokah
659574,Nyentrik Workshop
661698,Lingfach Jersey
664644,Gadgetgue
669702,WATCH OL SHOP
680946,Halteukicks
685940,INDOMEDIKA JAKARTA
690657,@dmixshopusa
692092,beautyofthai
693978,Go-Hijab
695667,domelton store
708790,Sekawan Sepeda
717187,HelloBabyCbng
723607,Rain Baby Shop
730505,DISTRIBUTOR-JAS HUJAN
734994,jjieshop
737210,EXPLORESHOPP
741093,Jaya Mulya Store77
745925,MEZZA MARKET OFFICIAL
747588,Sokku Apparel
750480,MyRoom Boutique
754179,Fast Furious 7
756285,SELL2YOU
769647,Aira Woman Bag
774003,monmonbandung
780605,gatotkacaaero
783480,Eveilable
789161,Sang Ratu Kosmetik
789724,Grosir sepatu Caterpilar
791409,SERBA ADA88
792753,MACHOO
793835,Solit Store
803647,maeucu
808038,Zota Bag 2
811699,Sica Art
812334,Belanja Cerria
812779,JEANS IMPORT
816721,Tiark Figure Shop
822735,yannaterlaris
824445,mandjur
824449,Cantiggi
824854,ypb fashion
827531,INKA SHOPP
835769,Mamade Agent Surabaya
837884,SQUARE 3D INDONESIA
841001,vanjava footwear
841112,Cars variasi mobil
844685,GemaNusa
846869,MAJU LANCAR 69
848069,Gudang Militer
849566,VEZKEY ID
850505,Bebiku Dee Dee
862346,King Felix
862644,Ayung Sportindo Malang
868280,Baby Shop Adasista
868782,ROBOCOMP
869738,Jember Sport
871261,Al Birkah
874292,Poko Tots
882205,azia online shop
884368,OV Store
884447,Prima Tools
884520,ZIGMA COLLECTION
887820,Haisha butik
892124,Zanafa Store
893207,Edwstore
893208,"25 Accessories"
897132,Gracia OS
899080,alatmedisno1
899460,GUSh
899742,Destroyer Brave
900787,Aldanie Store
902145,MEZZA_MARKET
912364,BKV Jakarta
912864,AIzn Store
922174,cokroshopp
922518,Shafia Fashion
925517,KEJ KEJORA
926215,tas distro bdg
928220,twin footwear
929087,DZ-world
929881,TB.Mutiara Jaya
932176,LYNS UNYU BONEKA SBY
938975,RAP-EO
959867,WHITE ALICE
961736,TAS KOPER SENEN
964084,toku pedia
971477,Toko _Murah Rezeki
980411,Anugerah Olshop 77
981873,Good Miracle
982749,Maju Lancar 07
985719,Toko Batita
986601,For MEN
995059,Green Soris
995439,NIAGA-CENTER
1004403,double K giftshop
1005787,Haruko Fashion
1010810,Cherie_Shoes
1011119,niedie
1011704,Import Marketing
1013930,avverous
1017174,&#34;Lapak Profesor&#34;
1023655,Alwi.Shop
1023811,DETIKWATCHES
1030367,dunia boneka lucu
1035960,GROSIR SAUNA SUIT REEBOK
1037978,Tas Murah Shop (TMS)
1039044,J-Lyn Gift Shop
1043410,suakan
1049155,Orchid Cosmetic
1053057,Nagamas88 Telecom
1072279,JULIA00
1076574,Calvin Collectionn
1081225,ENDLESS LIQUID
1081289,Ell Boutique
1090971,ceria online shop7
1091400,Hoki Te It
1092981,Tas Vision
1093460,ceria online shop14
1093687,Mamashopperbags
1095243,SEVENTY-STORE
1098179,cwacwa
1101789,rahmatarloji21
1105213,ZIPZAPMALL
1110193,Neo Bag
1114474,To-serbaSerbi
1115034,saw style
1115838,taitung 97
1117214,Oma Rafa Shop
1117547,GROSIR KAOS 3 DIMENSI
1119884,SaleFootball
1122194,Tamago OLshop
1125282,Simple majestic
1125794,jojo10shop
1126680,BundaAleefa
1127911,Baranguniku
1128010,Calyas
1131568,Rtw Shop Jam Tangandua
1139264,pingtung
1145695,RAYLYSHOP
1146185,Global Outlet
1147477,Harvel&#39;s Bags
1149357,Jakraft Indonesia
1152821,Earlyta16 Shop
1154624,KS_COLLECTION
1156319,NARAL.Store
1159072,stuffanimegametc
1165514,istana22
